bill_id, 1, numTerms, avgRank, lowestRank, percentCIC, bill_status
hr611,1,17,1.5,1,0.00181818181818,REFERRED
hr2109,1,14,2.33333333333,1,0.106666666667,REFERRED
hr2108,1,14,2.33333333333,1,0.0,REFERRED
hr2103,1,10,2.5,1,0.0145454545455,REFERRED
hr2102,1,1,14.5,7,0.04,REFERRED
hr2101,1,3,5.14285714286,1,0.0118918918919,REFERRED
hr2100,1,14,6.9,1,0.0,REFERRED
hr2107,1,9,6.75,3,0.0,REFERRED
hr2106,1,9,6.33333333333,3,0.0,REFERRED
hr2105,1,1,9.5,5,0.48,REFERRED
hr2104,1,10,2.5,1,0.0,REFERRED
hr3678,1,1,11.5,4,0.0133333333333,REPORTED
hr3679,1,2,13.25,8,0.24,REFERRED
hr3672,1,1,6.16666666667,3,0.04,REFERRED
hr3673,1,3,6.8,4,0.00279069767442,REFERRED
hr3671,1,7,2.6,1,0.24,REFERRED
hr3676,1,7,13.0,1,0.0152941176471,REPORTED
hr3677,1,14,13.2857142857,1,0.0,REFERRED
hr3674,1,3,10.2857142857,5,0.192,REFERRED
hr3675,1,8,4.0,1,0.48,PASS_OVER:HOUSE
s1034,1,6,5.0,1,0.48,REFERRED
hr2818,1,8,3.66666666667,1,0.04,REFERRED
s1036,1,5,30,20,0.0,REFERRED
s1037,1,1,3.84615384615,1,0.0,REFERRED
s1030,1,12,2.0,1,0.015,REFERRED
s1031,1,7,3.17647058824,1,0.06,REFERRED
s1032,1,2,3.46153846154,1,0.0444444444444,REFERRED
s1033,1,10,3.86666666667,1,0.04,REFERRED
hr2811,1,4,7.625,1,0.0,REFERRED
hr2810,1,6,5.85714285714,2,0.00965517241379,REPORTED
hr2813,1,1,13.8333333333,5,0.0,REFERRED
hr2812,1,10,4.0,1,0.0109090909091,REFERRED
hr2815,1,5,6.33333333333,1,0.106666666667,REFERRED
s1039,1,1,6.4,1,0.0571428571429,REFERRED
hr2817,1,2,9.25,2,0.0,REFERRED
hr2816,1,5,6.33333333333,1,0.075,REFERRED
s1697,1,10,3.86666666667,1,0.00848484848485,REFERRED
s1692,1,9,3.21052631579,1,0.106666666667,REFERRED
s1693,1,1,5.29411764706,1,0.0,REFERRED
hr2891,1,14,3.33333333333,1,0.96,REFERRED
hr2890,1,12,2.57142857143,1,0.0,REFERRED
hr2899,1,4,9.5,4,0.0,REFERRED
hr2898,1,11,3.85714285714,1,0.0,REFERRED
hr469,1,3,4.16666666667,1,0.96,REFERRED
hr468,1,3,4.16666666667,1,0.96,REFERRED
hr465,1,8,6.375,1,0.0,REFERRED
hr464,1,8,6.375,1,0.0,REFERRED
hr467,1,3,4.16666666667,1,0.0,REFERRED
hr466,1,8,6.375,1,0.0,REFERRED
hr461,1,6,4.375,1,0.06,REFERRED
hr460,1,2,12.5,7,0.000567375886525,REFERRED
hr463,1,2,9.66666666667,2,0.0,REFERRED
hr462,1,6,4.375,1,0.06,REPORTED
hr857,1,1,10.2222222222,4,0.0,REFERRED
hr4419,1,2,11.5,4,0.0,REFERRED
hr4418,1,8,2.66666666667,1,0.048,REFERRED
hr4149,1,1,5.5,1,0.016,REFERRED
hr4148,1,12,2.75,1,0.000714285714286,REFERRED
hr4145,1,7,30,20,0.0,REFERRED
hr4144,1,2,11.5,6,0.0,REFERRED
hr4147,1,1,5.33333333333,1,0.96,REFERRED
hr4410,1,4,5.83333333333,1,0.0571428571429,REFERRED
hr4417,1,12,2.57142857143,1,0.0,REFERRED
hr4140,1,1,5.85714285714,2,0.32,REFERRED
hr4143,1,9,3.75,1,0.00358208955224,REFERRED
hr4414,1,2,12.3333333333,6,0.0208,PASS_OVER:HOUSE
s261,1,5,2.64285714286,1,0.08,REFERRED
s260,1,4,5.07692307692,1,0.0,REFERRED
s263,1,1,4.1875,1,0.045,REFERRED
s262,1,10,3.52631578947,1,0.0,REFERRED
s265,1,6,3.6,1,0.0,REFERRED
s264,1,5,4.8,1,0.0064,REFERRED
s267,1,5,5.0625,1,0.0466666666667,REPORTED
s266,1,12,2.0,1,0.24,REFERRED
s269,1,5,5.0625,1,0.0461538461538,REPORTED
s268,1,6,5.0,1,0.0,REFERRED
hr2099,1,2,8.33333333333,3,0.0355555555556,REFERRED
hjres120,1,6,9.5,5,0.0,ENACTED:SIGNED
s1739,1,1,5.6,1,0.0346666666667,REFERRED
s1738,1,3,3.55555555556,1,0.00714285714286,REFERRED
s1737,1,10,3.86666666667,1,0.0,REPORTED
s1736,1,10,3.52631578947,1,0.04,REFERRED
s1735,1,2,4.375,1,0.015,REFERRED
s1734,1,2,5.53846153846,1,0.0,REFERRED
s1733,1,2,4.31578947368,1,0.0168421052632,REFERRED
s1732,1,1,4.0,1,0.24,REFERRED
s1731,1,1,3.84615384615,1,0.0,REFERRED
s1730,1,3,3.77777777778,1,0.0,REFERRED
hr2091,1,4,6.66666666667,3,0.0,REFERRED
hr569,1,2,9.25,1,0.00384615384615,REFERRED
hr3441,1,2,9.375,1,0.106666666667,REFERRED
hr3440,1,2,9.375,1,0.0,REFERRED
hr3443,1,2,9.375,1,0.0218181818182,REFERRED
hr3442,1,2,9.375,1,0.96,REFERRED
hr3445,1,4,9.5,4,0.0,REFERRED
hr3444,1,8,4.0,1,0.106666666667,REFERRED
hr3447,1,9,2.83333333333,1,0.96,REFERRED
hr3446,1,10,3.0,1,0.0333333333333,REFERRED
hr3449,1,4,6.14285714286,1,0.00714285714286,REFERRED
hr3448,1,2,10.0,2,0.32,PASS_OVER:HOUSE
hr2718,1,21,1.875,1,0.24,REFERRED
hr2719,1,1,11.4444444444,1,0.24,PASS_OVER:HOUSE
hr2716,1,12,2.75,1,0.0,REFERRED
hr2717,1,4,6.75,4,0.00392156862745,REFERRED
hr2714,1,1,13.6,2,0.0,REFERRED
hr2715,1,6,5.2,1,0.0,REFERRED
hr2712,1,13,1.0,1,0.24,REFERRED
hr2713,1,1,13.6,2,0.0,REFERRED
hr2710,1,7,3.5,1,0.0,REFERRED
hr2711,1,3,8.33333333333,3,0.0,REPORTED
s1193,1,4,5.2,1,0.075,REFERRED
s1192,1,9,3.21052631579,1,0.06,REFERRED
s1191,1,2,5.72727272727,1,0.0,REFERRED
s1190,1,3,3.85714285714,1,0.24,REFERRED
s1197,1,6,5.0,1,0.96,REPORTED
s1196,1,12,2.0,1,0.0,REFERRED
s1195,1,2,2.5,1,0.0105263157895,REFERRED
s1194,1,12,2.41176470588,1,0.08,REFERRED
s1199,1,1,5.6,1,0.213333333333,REFERRED
s1198,1,2,3.46153846154,1,0.0,REFERRED
s1790,1,1,5.41176470588,1,0.24,REFERRED
s1999,1,6,4.35294117647,1,0.04,REFERRED
s1998,1,4,7.11111111111,4,0.0533333333333,REFERRED
s1993,1,1,8.875,7,0.0,REFERRED
s1992,1,8,7.84615384615,5,0.106666666667,REFERRED
s1991,1,8,4.46153846154,1,0.0,REFERRED
s1990,1,5,4.46666666667,1,0.0,REFERRED
s1997,1,9,30,20,0.0,REFERRED
s1996,1,1,4.58333333333,1,0.0,REPORTED
s1995,1,1,5.27777777778,1,0.24,REFERRED
