bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres29,1,4,2,0,0,380004.333333333,0,0,0.0078328982,0.0223118918,0.6661339662,1.9892410951,-1.560725929,-0.3850748723,0.4312950641,0.913128974,3.8410376427,REFERRED
hjres3,1,1,1,0,0,4233.59375,0,0.0093333333,0.015704154,0.0871327254,0.6028461884,2.1914576333,-1.5567768004,-0.5904611167,0.0747767641,0.8676045939,4.004299077,REFERRED
hjres30,1,1,2,0,0,61796.3529411765,1,0.12,0.1875,0.375,0.9339333637,2.2761017717,-1.2426780484,-0.3593531765,0.4602525784,1.0694643521,4.6201581612,REFERRED
hjres31,1,21,2,0,0,24179.6666666667,0,0.0063157895,0.015704154,0.0871327254,0.8955989661,2.1002298369,-1.5473033803,-0.5400588873,0.7972596602,1.4811683435,3.5960306002,REFERRED
hjres32,1,1,2,0,0,46678.8888888889,0,0.48,0.0318021201,0.0671378092,0.7791575753,2.6058183785,-2.1541253678,-0.5859757954,0.5651873328,1.264929078,4.4827944261,REFERRED
hjres33,1,4,3,0,0,289897.923076923,0,0.0048780488,0.0318021201,0.0671378092,0.7404444772,2.0462127497,-1.4243491548,-0.4615984384,0.4381594495,1.1148248778,3.8628426674,REFERRED
hjres34,1,76,3,0,0,25900.7692307692,0,0.0026666667,0.015704154,0.0871327254,0.7254394178,1.3561415945,-0.9657714003,-0.2116748514,0.7557760452,1.2649768556,2.2927573369,REFERRED
hjres35,1,19,3,0,0,6370.8,1,0.32,0.0437566702,0.1419423693,0.5819201402,1.2225001748,-0.6267922297,-0.17752045,0.3705524002,0.7723703084,2.5353465306,REFERRED
hjres36,1,9,3,0,0,39773.8571428571,1,0.96,0.0509838998,0.2345679012,0.6899330525,2.2679471055,-1.7186086439,-0.6392607222,0.3225720681,0.9647450279,4.1156382929,REFERRED
hjres37,1,1,3,0,0,58764,1,0.0233333333,0.0078328982,0.0223118918,1.0391974173,2.6243158027,-2.1361246749,-0.637508478,0.9751741484,1.767964345,4.850271321,REFERRED
hjres38,1,1,4,0,0,151166.2,1,0.008,0.0396039604,0.1683168317,0.7105154514,2.2101999596,-1.595055673,-0.505627328,0.2877573709,0.9196216337,4.2662660515,REFERRED
hjres39,1,1,4,0,0,73846.8333333333,1,0.1066666667,0.0100250627,0.0601503759,0.950372067,2.421310034,-1.4147432017,-0.583476958,0.4930906438,1.2340241286,4.5674188039,REFERRED
hjres4,1,11,1,0,0,289897.923076923,0,0.24,0.0375,0.1125,0.691862429,2.3923903155,-2.1262340363,-0.6419924742,0.5480735408,1.1983248591,4.1521533203,REFERRED
hjres40,1,20,4,0,0,17243.3,0.75,0.08,0.0100250627,0.0601503759,0.7265009291,1.6415617375,-0.8673582071,-0.1515744597,0.3353037106,0.8875072162,3.4379932225,REFERRED
hjres41,1,18,4,0,0,18789.15,1,0.24,0.0563991323,0.3383947939,0.6468046144,1.6961137514,-0.7421450167,-0.3714091466,0.1204778564,0.8545737529,3.419265335,REFERRED
hjres42,1,1,4,0,0,453096.555555556,0,0.0068965517,0.0280373832,0.0934579439,0.6898136065,2.1400177981,-1.3058686731,-0.6067541454,0.1515638659,0.9529185931,4.0176508388,REFERRED
hjres43,1,107,5,0,0,0,0.0093457944,0.24,0.0426540284,0.2654028436,0.7118467768,1.1898335756,-0.767990697,-0.0920747962,0.7399286949,1.2043524924,2.0057376418,REFERRED
hjres44,1,27,5,0,0,79052,0,0.48,0.0426540284,0.2654028436,0.8008259523,1.9765548792,-1.530322498,-0.3836409925,0.6251089733,1.4038766576,3.7322226186,REFERRED
hjres45,1,2,5,0,0,36637.6666666667,0.5,0.24,0.0563991323,0.3383947939,0.877770712,2.1964257929,-1.2678336088,-0.3096182555,0.4172196672,1.0226731678,4.2919604572,REFERRED
hjres46,1,4,5,0,0,167824.111111111,0.5,0.0044444444,0.0318021201,0.0671378092,0.7474428001,2.0454852826,-1.1312267865,-0.455595709,0.3347403828,0.8807069303,3.5121057581,REFERRED
hjres47,1,33,5,0,0,63807.75,0.8484848485,0,0.0007309942,0.0168128655,0.7122693019,1.1753959192,-0.3207130534,-0.0035971876,0.3889018843,1.0017028383,2.3209344564,REFERRED
hjres48,1,1,5,0,0,36694.9166666667,1,0.0023809524,0.0396039604,0.1683168317,0.834621093,2.2663801558,-1.6361437846,-0.5807443028,0.5356762141,1.3329109442,4.0683020874,REFERRED
hjres49,1,1,6,0,0,349538.5,1,0.112,0.0563991323,0.3383947939,0.9372097667,2.6481536562,-1.6095334697,-0.6327216557,0.3215862399,1.0570975394,5.3318661742,REFERRED
hjres5,1,3,1,0,0,65065.4444444445,1,0.0177777778,0.0007309942,0.0168128655,0.8244912282,1.9989157068,-1.259643023,-0.4653495645,0.5183690549,1.2540116927,3.8765727502,REFERRED
hjres50,1,81,6,0,0,27438.5,1,0,0.0602134146,0.3383947939,-0.1999425707,1.0302836181,-1.5491323247,-1.2519744493,0.0221005035,0.7493797091,0.9605992261,REFERRED
hjres51,1,60,6,0,0,88743.6,0.95,0,0.0563991323,0.3383947939,0.4041432469,0.9016356423,-0.7848468183,-0.3733452263,0.518847783,0.9553971445,1.475215969,REFERRED
hjres52,1,4,7,0,0,22990.25,0.75,0,0.0594059406,0.2945544554,0.6091032173,1.7747389256,-0.9976175611,-0.4046532036,0.1588109762,0.8140213903,3.2865403998,REFERRED
hjres53,1,6,7,0,0,22990.25,1,0,0.0594059406,0.2945544554,0.6386132598,1.965657386,-1.2678477671,-0.4777265717,0.2320349753,0.8238868472,3.4647218725,REFERRED
hjres54,1,5,7,0,0,22990.25,1,0.2133333333,0.0594059406,0.2945544554,0.6123212666,1.9625278061,-1.4264551232,-0.4970644596,0.3251332463,0.9264297122,3.539101047,REFERRED
hjres55,1,11,8,0,0,54055,1,0.1066666667,0.0594059406,0.2945544554,1.0055124059,2.1410257376,-0.9786491819,-0.2432715262,0.5037494183,1.123773546,4.478525647,REFERRED
hjres56,1,177,8,0,0,16699,0.0282485876,0,0.0007309942,0.0168128655,0.805493737,1.153989154,-0.5560263383,0.0646462946,0.7403022872,1.2118532379,2.2271760083,REFERRED
hjres57,1,1,8,0,0,73846.8333333333,1,0,0.0426540284,0.2654028436,0.8667131234,2.276740687,-1.4296702726,-0.4406797184,0.4064568923,1.1848222794,4.2657006299,REFERRED
hjres58,1,13,9,0,0,10097.375,1,0,0.0007309942,0.0168128655,0.7163902979,1.8267414984,-1.0980024688,-0.2621794034,0.3813555276,0.8805842068,3.5830413677,REFERRED
hjres59,1,1,9,2,2,61303.8461538462,1,0.0096551724,0.0100250627,0.0601503759,0.5215008206,1.8439481349,-1.338919582,-0.5478196902,0.215926568,0.7315447066,3.172095517,ENACTED:SIGNED
hjres6,1,1,1,0,0,65065.4444444445,1,0.0171428571,0.3079268293,0.5030487805,0.7431279779,2.1721894269,-1.6764399322,-0.6908178719,0.4921222288,1.3013757746,4.0925789268,REFERRED
hjres60,1,2,9,0,0,25162.5238095238,0.5,0,0.0396039604,0.1683168317,0.8638604279,1.9461908134,-1.1995763874,-0.240037718,0.5374301552,1.1547549194,3.646629731,REFERRED
