billid, x, binned score, bipartisan score, status
hr5304,1,0.3,0.333333333333,REFERRED
hr5305,1,0.0,0.0,REFERRED
hr5306,1,0.0,0.0,REFERRED
hr5307,1,0.0,0.0,REFERRED
hr5308,1,1.0,1.0,REFERRED
hr5309,1,0.3,0.333333333333,PASS_OVER:HOUSE
hr531,1,0.3,0.25,REFERRED
hr5310,1,0.3,0.333333333333,REFERRED
hr5311,1,0.0,0.0,REFERRED
hr5312,1,0.5,0.5,REFERRED
hr5313,1,0.0,0.0,REFERRED
hr5314,1,0.3,0.277777777778,REFERRED
hr5315,1,1.0,1.0,REFERRED
hr5316,1,1.0,1.0,REFERRED
hr5317,1,0.0,0.0,REFERRED
hr5318,1,1.0,1.0,REFERRED
hr5319,1,0.5,0.5,REFERRED
hr532,1,0.0,0.0,REFERRED
hr5320,1,0.7,0.727272727273,REFERRED
hr5321,1,1.0,1.0,REFERRED
hr5322,1,1.0,1.0,REFERRED
hr5323,1,0.2,0.166666666667,REFERRED
hr5324,1,0.0,0.0,REFERRED
hr5325,1,0.1,0.125,REFERRED
hr5326,1,1.0,1.0,REFERRED
hr5327,1,0.0,0.0,REFERRED
hr5328,1,1.0,1.0,REFERRED
hr5329,1,1.0,1.0,REFERRED
hr533,1,0.4,0.40625,REFERRED
hr5330,1,0.0,0.0,REFERRED
hr5331,1,0.3,0.269230769231,REPORTED
hr5332,1,0.0,0.0,REFERRED
hr5333,1,1.0,1.0,REFERRED
hr5334,1,0.0,0.0,REFERRED
hr5335,1,0.0,0.0,REFERRED
hr5336,1,0.3,0.333333333333,REFERRED
hr5337,1,0.3,0.333333333333,REFERRED
hr5338,1,0.0,0.0,REFERRED
hr5339,1,0.0,0.0,REFERRED
hr534,1,0.0,0.0,REFERRED
hr5340,1,0.0,0.0,REFERRED
hr5341,1,0.0,0.0,REFERRED
hr5342,1,1.0,1.0,REFERRED
hr5343,1,0.0,0.0,REFERRED
hr5344,1,0.0,0.0,REFERRED
hr5345,1,0.0,0.0,REFERRED
