s497,1,4,3.4,1,0.45,REFERRED
s494,1,12,2.41176470588,1,0.95,REFERRED
s495,1,7,3.55555555556,1,0.6,REFERRED
s492,1,7,3.55555555556,1,0.45,REFERRED
s493,1,12,2.41176470588,1,0.95,REFERRED
s490,1,5,4.6875,1,0.0,REFERRED
hr385,1,5,6.33333333333,1,0.4,REFERRED
hr4518,1,2,9.33333333333,4,0.0,REFERRED
hr4519,1,2,9.33333333333,4,0.95,REFERRED
hr1902,1,3,9.33333333333,2,0.0,REFERRED
hr1903,1,2,12.5,7,0.0,REFERRED
hr1900,1,2,10.375,5,0.6,PASS_OVER:HOUSE
hr1901,1,14,6.2,1,0.95,REFERRED
hr1906,1,9,3.25,1,0.2,REFERRED
hr1907,1,8,4.71428571429,1,0.05,REFERRED
hr1904,1,10,3.4,1,0.8,REFERRED
hr1905,1,2,12.5,7,0.1,REFERRED
hr1908,1,4,6.0,1,0.1,REFERRED
hr1909,1,7,5.6,1,0.05,REFERRED
hr4376,1,4,8.66666666667,2,0.0,REFERRED
hr129,1,16,3.0,1,0.05,REFERRED
hr4374,1,3,4.33333333333,1,0.3,REFERRED
hr4375,1,2,6.75,1,0.1,REFERRED
hr4372,1,7,4.5,1,0.25,REFERRED
hr4373,1,9,3.5,1,0.1,REFERRED
hr4370,1,1,12.8571428571,5,0.2,REFERRED
hr4371,1,1,10.2222222222,4,0.0,REFERRED
hr120,1,8,3.66666666667,1,0.0,REFERRED
hr121,1,8,3.66666666667,1,0.0,REFERRED
hr122,1,8,3.66666666667,1,0.0,REFERRED
hr123,1,8,3.66666666667,1,0.0,REFERRED
hr124,1,10,5.0,2,0.25,REFERRED
hr125,1,10,5.0,2,0.2,REFERRED
hr126,1,10,5.0,2,0.0,PASS_OVER:HOUSE
hr127,1,10,5.0,2,0.0,REFERRED
hr3858,1,2,11.2857142857,3,0.0,REFERRED
hr3859,1,1,8.85714285714,2,0.75,REFERRED
hr3856,1,3,12.3333333333,5,0.0,REFERRED
hr3857,1,6,6.66666666667,4,0.05,REFERRED
hr3854,1,3,9.33333333333,2,0.1,REFERRED
hr3855,1,3,7.8,1,0.1,REFERRED
hr3852,1,9,6.75,3,0.0,REFERRED
hr3853,1,3,9.0,5,0.0,REFERRED
hr3850,1,2,9.85714285714,4,0.0,REFERRED
hr3851,1,3,9.5,2,0.2,REFERRED
hr1630,1,8,3.66666666667,1,0.1,REFERRED
hr1631,1,21,6.625,1,0.0,REFERRED
hr1632,1,2,13.4,6,0.35,REFERRED
hr1633,1,2,11.5,4,0.45,REFERRED
hr1634,1,5,6.0,1,0.45,REFERRED
hr1635,1,4,7.625,1,0.45,REFERRED
hr1636,1,7,4.16666666667,1,0.2,REFERRED
hr1637,1,2,6.55555555556,1,0.0,REFERRED
hr1638,1,2,6.55555555556,1,0.35,REFERRED
hr1639,1,2,9.85714285714,4,0.95,REFERRED
s1528,1,3,3.77777777778,1,0.45,REFERRED
s1529,1,8,7.84615384615,5,0.05,REFERRED
s1522,1,10,3.5,1,0.0,REFERRED
s1523,1,5,5.0625,1,0.45,REFERRED
s1520,1,1,8.85714285714,5,0.0,REFERRED
s1521,1,3,5.06666666667,1,0.95,REFERRED
s1526,1,4,5.2,1,0.95,REFERRED
s1527,1,2,4.31578947368,1,0.0,REFERRED
s1524,1,5,5.2,1,0.0,REFERRED
s1525,1,7,3.17647058824,1,0.25,REFERRED
hr611,1,17,1.5,1,0.05,REFERRED
hr2109,1,14,2.33333333333,1,0.3,REFERRED
hr2108,1,14,2.33333333333,1,0.0,REFERRED
hr2103,1,10,2.5,1,0.15,REFERRED
hr2102,1,1,14.5,7,0.2,REFERRED
hr2101,1,3,5.14285714286,1,0.45,REFERRED
hr2100,1,14,6.9,1,0.0,REFERRED
hr2107,1,9,6.75,3,0.0,REFERRED
hr2106,1,9,6.33333333333,3,0.0,REFERRED
hr2105,1,1,9.5,5,0.95,REFERRED
hr2104,1,10,2.5,1,0.0,REFERRED
hr5458,1,1,6.16666666667,3,0.0,REFERRED
hr5459,1,3,8.75,1,0.05,REFERRED
hr5450,1,11,3.25,1,0.0,REFERRED
hr5451,1,1,10.0,5,0.2,REFERRED
hr5452,1,2,10.0,2,0.95,REFERRED
hr5453,1,4,8.66666666667,2,0.95,REFERRED
hr5454,1,14,6.9,1,0.95,REFERRED
hr5455,1,2,9.0,1,0.0,REFERRED
hr5456,1,4,8.0,2,0.0,REFERRED
hr5457,1,1,11.0,1,0.0,REFERRED
hr3678,1,1,11.5,4,0.4,REPORTED
hr3679,1,2,13.25,8,0.45,REFERRED
hr3672,1,1,6.16666666667,3,0.2,REFERRED
hr3673,1,3,6.8,4,0.1,REFERRED
hr3670,1,1,7.6,1,0.7,PASS_OVER:HOUSE
hr3671,1,7,2.6,1,0.45,REFERRED
hr3676,1,7,13.0,1,0.5,REPORTED
hr3677,1,14,13.2857142857,1,0.0,REFERRED
hr3674,1,3,10.2857142857,5,0.95,REFERRED
hr3675,1,8,4.0,1,0.95,PASS_OVER:HOUSE
hr2819,1,2,15.25,10,0.1,PASS_OVER:HOUSE
hr2818,1,8,3.66666666667,1,0.4,REFERRED
s1036,1,5,30,20,0.0,REFERRED
s1037,1,1,3.84615384615,1,0.0,REFERRED
s1030,1,12,2.0,1,0.1,REFERRED
s1031,1,7,3.17647058824,1,0.2,REFERRED
s1032,1,2,3.46153846154,1,0.4,REFERRED
s1033,1,10,3.86666666667,1,0.25,REFERRED
hr2811,1,4,7.625,1,0.0,REFERRED
hr2810,1,6,5.85714285714,2,0.55,REPORTED
hr2813,1,1,13.8333333333,5,0.0,REFERRED
hr2812,1,10,4.0,1,0.25,REFERRED
hr2815,1,5,6.33333333333,1,0.65,REFERRED
hr2814,1,2,7.125,1,0.0,REFERRED
hr2817,1,2,9.25,2,0.0,REFERRED
hr2816,1,5,6.33333333333,1,0.6,REFERRED
s1125,1,3,3.55555555556,1,0.0,REFERRED
s1122,1,8,4.41666666667,1,0.0,REFERRED
s1691,1,2,5.0,1,0.65,PASS_OVER:SENATE
s1120,1,2,5.0,1,0.45,REFERRED
s1121,1,1,3.84615384615,1,0.0,REPORTED
s179,1,4,5.07692307692,1,0.0,REFERRED
s178,1,3,3.55555555556,1,0.0,REFERRED
s2718,1,10,4.875,1,0.0,REFERRED
s2719,1,1,5.41176470588,1,0.0,REFERRED
s2714,1,8,4.5,1,0.15,REFERRED
s2715,1,8,4.57142857143,1,0.95,REFERRED
s2716,1,1,5.88888888889,1,0.0,REFERRED
s2717,1,4,5.07692307692,1,0.0,REFERRED
s2710,1,10,4.875,1,0.4,REFERRED
s2711,1,10,3.52631578947,1,0.95,REFERRED
s2712,1,10,3.52631578947,1,0.0,REFERRED
s2713,1,3,5.06666666667,1,0.95,REFERRED
s171,1,6,4.22222222222,1,0.7,REFERRED
s170,1,3,5.06666666667,1,0.45,REFERRED
hr469,1,3,4.16666666667,1,0.95,REFERRED
hr468,1,3,4.16666666667,1,0.95,REFERRED
hr465,1,8,6.375,1,0.0,REFERRED
hr464,1,8,6.375,1,0.0,REFERRED
hr467,1,3,4.16666666667,1,0.0,REFERRED
hr466,1,8,6.375,1,0.0,REFERRED
hr461,1,6,4.375,1,0.2,REFERRED
hr460,1,2,12.5,7,0.1,REFERRED
hr463,1,2,9.66666666667,2,0.0,REFERRED
hr462,1,6,4.375,1,0.2,REPORTED
hr5634,1,1,9.66666666667,3,0.0,REFERRED
hr5635,1,1,9.66666666667,3,0.0,REFERRED
hr5636,1,1,9.66666666667,3,0.0,REFERRED
hr5637,1,1,9.66666666667,3,0.0,REFERRED
hr5630,1,1,11.0,1,0.0,REFERRED
hr5631,1,1,11.0,1,0.15,REFERRED
hr5632,1,6,4.55555555556,1,0.95,REFERRED
hr5633,1,9,6.66666666667,3,0.0,REFERRED
hr5638,1,18,2.14285714286,1,0.3,REFERRED
hr5639,1,13,3.5,1,0.0,REFERRED
s2025,1,5,5.0625,1,0.7,REFERRED
s1773,1,12,2.41176470588,1,0.0,REFERRED
s1772,1,12,2.41176470588,1,0.15,REFERRED
hr857,1,1,10.2222222222,4,0.0,REFERRED
hr4419,1,2,11.5,4,0.0,REFERRED
hr4418,1,8,2.66666666667,1,0.45,REFERRED
hr4149,1,1,5.5,1,0.3,REFERRED
hr4148,1,12,2.75,1,0.05,REFERRED
hr4413,1,11,3.85714285714,1,0.95,PASS_OVER:HOUSE
hr4412,1,2,8.0,1,0.95,PASS_OVER:HOUSE
hr4147,1,1,5.33333333333,1,0.95,REFERRED
hr4410,1,4,5.83333333333,1,0.4,REFERRED
hr4417,1,12,2.57142857143,1,0.0,REFERRED
hr4416,1,2,9.71428571429,1,0.1,PASS_OVER:HOUSE
hr4143,1,9,3.75,1,0.2,REFERRED
hr4414,1,2,12.3333333333,6,0.5,PASS_OVER:HOUSE
s261,1,5,2.64285714286,1,0.45,REFERRED
s260,1,4,5.07692307692,1,0.0,REFERRED
s263,1,1,4.1875,1,0.35,REFERRED
s262,1,10,3.52631578947,1,0.0,REFERRED
s265,1,6,3.6,1,0.0,REFERRED
s264,1,5,4.8,1,0.15,REFERRED
s267,1,5,5.0625,1,0.55,REPORTED
s266,1,12,2.0,1,0.45,REFERRED
s269,1,5,5.0625,1,0.6,REPORTED
s268,1,6,5.0,1,0.0,REFERRED
hjres123,1,7,4.25,1,0.0,REFERRED
hr2099,1,2,8.33333333333,3,0.3,REFERRED
hjres121,1,2,12.3333333333,6,0.0,REFERRED
hjres120,1,6,9.5,5,0.0,ENACTED:SIGNED
hjres127,1,5,4.5,2,0.25,REFERRED
hjres126,1,2,7.125,1,0.0,REFERRED
hjres125,1,7,4.5,1,0.2,REFERRED
s1738,1,3,3.55555555556,1,0.2,REFERRED
s1737,1,10,3.86666666667,1,0.0,REPORTED
s1736,1,10,3.52631578947,1,0.2,REFERRED
s1735,1,2,4.375,1,0.2,REFERRED
hjres128,1,8,4.66666666667,2,0.0,REFERRED
s1733,1,2,4.31578947368,1,0.3,REFERRED
s1732,1,1,4.0,1,0.45,REFERRED
s1731,1,1,3.84615384615,1,0.0,REFERRED
s1730,1,3,3.77777777778,1,0.0,REFERRED
hr2091,1,4,6.66666666667,3,0.0,REFERRED
hr569,1,2,9.25,1,0.2,REFERRED
hr3441,1,2,9.375,1,0.3,REFERRED
hr3440,1,2,9.375,1,0.0,REFERRED
hr3443,1,2,9.375,1,0.25,REFERRED
hr3442,1,2,9.375,1,0.95,REFERRED
hr3445,1,4,9.5,4,0.0,REFERRED
hr3444,1,8,4.0,1,0.3,REFERRED
hr3447,1,9,2.83333333333,1,0.95,REFERRED
hr3446,1,10,3.0,1,0.4,REFERRED
hr3449,1,4,6.14285714286,1,0.2,REFERRED
hr3448,1,2,10.0,2,0.95,PASS_OVER:HOUSE
hr2718,1,21,1.875,1,0.45,REFERRED
hr2719,1,1,11.4444444444,1,0.95,PASS_OVER:HOUSE
hr2716,1,12,2.75,1,0.0,REFERRED
hr2717,1,4,6.75,4,0.2,REFERRED
hr2714,1,1,13.6,2,0.0,REFERRED
hr2715,1,6,5.2,1,0.0,REFERRED
hr2712,1,13,1.0,1,0.45,REFERRED
hr2713,1,1,13.6,2,0.0,REFERRED
hr2710,1,7,3.5,1,0.0,REFERRED
hr2711,1,3,8.33333333333,3,0.0,REPORTED
s1193,1,4,5.2,1,0.6,REFERRED
s1192,1,9,3.21052631579,1,0.2,REFERRED
s1191,1,2,5.72727272727,1,0.0,REFERRED
s1190,1,3,3.85714285714,1,0.45,REFERRED
s1197,1,6,5.0,1,0.95,REPORTED
s1196,1,12,2.0,1,0.0,REFERRED
s1195,1,2,2.5,1,0.2,REFERRED
s1194,1,12,2.41176470588,1,0.45,REFERRED
s1199,1,1,5.6,1,0.65,REFERRED
s1198,1,2,3.46153846154,1,0.0,REFERRED
s1999,1,6,4.35294117647,1,0.25,REFERRED
s1998,1,4,7.11111111111,4,0.3,REFERRED
s1993,1,1,8.875,7,0.0,REFERRED
s1992,1,8,7.84615384615,5,0.65,REFERRED
s1991,1,8,4.46153846154,1,0.0,REFERRED
s1990,1,5,4.46666666667,1,0.0,REFERRED
s1997,1,9,30,20,0.0,REFERRED
s1996,1,1,4.58333333333,1,0.0,REPORTED
s1995,1,1,5.27777777778,1,0.45,REFERRED
s1994,1,2,3.46153846154,1,0.95,REFERRED
hr2947,1,11,2.14285714286,1,0.2,REFERRED
hr2946,1,10,4.6,1,0.0,REFERRED
hr2945,1,16,1.0,1,0.2,REFERRED
hr2944,1,7,4.5,1,0.0,REFERRED
hr2943,1,4,4.77777777778,1,0.05,REFERRED
hr2766,1,7,4.25,1,0.55,REFERRED
s856,1,10,4.875,1,0.95,REFERRED
s857,1,10,3.52631578947,1,0.4,REFERRED
s854,1,1,6.4,1,0.2,REFERRED
s855,1,9,3.0,1,0.0,REFERRED
s852,1,10,3.5,1,0.95,REFERRED
s853,1,3,3.77777777778,1,0.0,PASS_OVER:SENATE
s850,1,2,4.375,1,0.3,REFERRED
s851,1,10,3.5,1,0.3,REPORTED
hr2764,1,2,9.33333333333,4,0.1,REFERRED
s858,1,10,3.5,1,0.0,REFERRED
s859,1,2,5.72727272727,1,0.95,REFERRED
hr2235,1,8,6.375,1,0.05,REFERRED
hr2234,1,6,4.83333333333,1,0.95,REFERRED
hr2237,1,3,3.57142857143,1,0.25,REFERRED
hr5159,1,20,1.0,1,0.4,REFERRED
hr5158,1,10,5.0,1,0.0,REFERRED
s2367,1,6,4.22222222222,1,0.3,REFERRED
s2366,1,4,2.66666666667,1,0.0,REFERRED
s2361,1,9,3.0,1,0.8,REFERRED
s2360,1,6,5.0,1,0.15,REFERRED
s86,1,5,4.46666666667,1,0.0,REFERRED
s2362,1,1,5.875,1,0.45,REFERRED
hr5151,1,1,11.0,1,0.0,REFERRED
s89,1,5,4.46666666667,1,0.95,REFERRED
hr5153,1,12,2.57142857143,1,0.95,REFERRED
hr5152,1,1,11.0,1,0.3,REFERRED
s2369,1,7,3.55555555556,1,0.0,REFERRED
s2368,1,9,3.78571428571,1,0.0,REFERRED
hr5157,1,2,9.375,1,0.3,REFERRED
hr5156,1,3,10.6666666667,6,0.7,REFERRED
hr2233,1,4,11.3333333333,3,0.0,REFERRED
hr2232,1,7,5.6,1,0.45,REFERRED
hr696,1,1,9.0,2,0.2,REFERRED
hr697,1,2,9.77777777778,1,0.2,ENACTED:SIGNED
hr694,1,8,4.71428571429,1,0.0,REFERRED
hr695,1,2,9.22222222222,1,0.55,REFERRED
hr692,1,2,9.1,1,0.45,REFERRED
hr693,1,9,3.8,1,0.05,REFERRED
hr690,1,10,3.0,1,0.2,REFERRED
hr691,1,20,1.0,1,0.65,REFERRED
hr1706,1,10,3.0,1,0.05,REFERRED
hr698,1,9,6.25,4,0.2,REPORTED
hr699,1,6,1.0,1,0.2,REFERRED
hr1707,1,1,18.2857142857,6,0.15,PASS_OVER:HOUSE
hr1700,1,13,3.75,1,0.0,REFERRED
hr1701,1,5,5.5,1,0.1,REFERRED
